branches,cache_misses,cache_references,instructions
21104,731,317,122666
22779,827,369,134522
16095,606,296,92115
16284,692,473,96910
15908,753,485,91677
18781,616,423,114485
15667,631,427,92966
15143,776,480,83911
14807,918,529,83806
16449,862,410,90259
18450,901,490,103017
15095,888,488,82995
12434,778,391,71665
15009,938,466,86032
15561,871,452,99125
15547,887,444,88988
16247,977,478,96741
13428,922,449,78649
14925,1029,507,86868
15942,1046,492,93037
12189,821,404,70522
14891,910,423,88986
17465,1021,472,102636
17317,949,455,102447
16823,1058,529,99552
15623,919,460,91619
14065,859,447,82496
15634,971,506,91453
12659,787,374,70890
17094,958,487,101601
16941,1047,527,98640
15714,977,487,89801
16816,995,527,102045
15832,963,506,94009
15295,977,513,95267
13886,881,449,80358
12531,1031,531,78061
16083,1141,562,93970
14361,852,468,85252
14779,894,436,86212
15082,969,465,85550
15656,938,496,94657
16587,945,513,98573
16628,961,535,97036
13150,953,462,74503
14614,842,448,84376
15625,1051,514,92302
16136,947,487,95061
17190,1073,519,98241
16097,964,495,94610
13855,855,444,80489
16063,957,511,96192
16842,990,532,100158
15705,942,536,99332
15763,977,545,92865
16673,1042,504,96369
16269,1026,498,96449
17080,1022,499,100649
16812,1000,500,98268
16227,962,518,98476
15343,889,426,90135
16489,1015,521,99237
15765,967,513,100214
14640,922,471,85503
14827,957,477,85429
15956,992,539,92271
16643,1061,500,97022
16375,1008,508,95683
15285,935,442,86968
15341,908,463,90700
15016,934,440,86257
16277,939,501,97266
17044,1027,520,99053
14448,857,457,85618
16359,1006,524,96207
16401,1006,503,96691
16126,1102,555,92487
14896,908,457,86773
17158,969,467,102850
15536,954,511,93111
17344,1058,485,103555
16084,950,488,93580
17106,1038,513,99594
17599,1100,586,102944
17022,1024,465,98934
17582,1041,485,104701
16469,1009,498,97331
6857,464,210,35029
16592,1012,504,97918
17048,1079,523,98691
14993,937,462,86435
16515,1024,525,96628
16964,1031,534,100334
16367,1033,534,94965
16072,1022,472,92993
14483,953,475,82419
16834,1007,500,100959
15996,975,528,95345
17739,1045,455,103676
17689,1012,531,105755
16754,943,517,101325
16798,1012,534,98425
17190,1010,492,102822
17780,1075,491,102993
17102,1050,527,99583
15419,926,476,90411
17215,1070,529,99260
17662,1075,537,106375
17230,1011,497,102759
17825,1069,520,105685
16465,1013,506,103365
15354,908,432,87195
17446,1152,579,101763
15375,975,490,88437
17105,1119,557,102086
16689,1080,521,97113
16031,978,520,92656
17157,947,485,103946
16931,1079,506,99093
16833,915,527,101217
16705,1094,555,96616
16988,1051,537,99747
17355,987,537,101022
13907,884,431,86087
17347,1073,504,99566
17246,989,518,102991
16269,956,517,96367
16413,1055,567,94785
14470,953,466,82882
14702,858,442,86761
16342,1046,534,97987
16515,1155,578,99068
17435,1059,545,100446
16347,1075,544,94995
17174,1044,531,100121
16477,1121,592,96914
17331,1029,483,101044
17172,994,549,101897
17075,1003,513,101460
17138,1067,521,99044
17648,1013,509,103903
16382,1043,565,97114
16760,925,503,101031
18217,1033,539,109643
17015,1077,540,100425
17255,1066,550,102804
17306,1024,524,101553
15469,1063,543,91919
17452,998,565,104676
17529,1018,537,105152
17260,998,542,102578
17328,1078,541,102021
10696,1078,463,65697
14426,884,458,84301
15309,976,498,89487
17938,1085,536,103032
16928,1031,528,98593
17238,969,496,103580
17674,1063,518,102943
17414,1030,521,100661
17863,1047,538,103681
17289,1086,548,101595
16803,1029,538,99095
16452,1015,558,98525
17854,1068,551,102515
16170,1052,563,96420
17228,1055,543,102243
16798,1045,557,104327
16779,1042,540,98770
17735,1081,543,104776
16761,1079,570,100454
17422,999,507,102785
16320,1065,534,96701
16678,1067,605,98208
13334,999,460,75323
17489,1058,561,103045
17862,1050,509,104024
16329,1033,514,97220
14688,974,510,85766
16570,1047,560,98099
17129,1076,569,101241
17341,1015,516,102987
17446,1107,531,101509
16065,1103,614,93044
17979,1075,545,105594
17907,983,518,108036
15611,922,475,92033
17377,1141,568,101173
16886,1066,545,99345
18680,1067,499,109366
16542,1054,538,95610
17198,1093,580,99877
16788,1076,566,98192
17784,1065,579,105106
17534,1114,544,102892
17411,1075,521,103148
17905,1067,538,104122
16636,1094,554,99097
16835,1035,587,101914
18092,1025,512,107800
17364,1094,569,100394
17465,1041,562,103992
14123,922,483,82386
17332,1025,535,101160
15223,1003,522,89550
17799,1028,563,104635
17492,1044,531,102039
16682,1001,536,98496
17890,1040,549,105666
16836,1106,595,99813
17960,1057,520,106483
15388,899,490,87989
16801,1100,573,99205
15074,1050,518,87933
17141,1113,588,101168
14157,934,490,81833
16887,1129,621,100114
7888,540,272,44409
17110,1155,591,101503
15925,990,550,95132
17171,1097,544,99976
18231,1173,543,105993
17504,1021,552,104899
17359,1049,559,100680
17968,1112,560,104588
17190,1083,561,97900
17254,1025,537,100053
16667,1166,580,97209
17077,1153,599,98972
16465,1033,567,97357
16304,997,539,99369
17440,1076,538,104041
17999,1111,552,103700
17264,1019,547,104484
17395,1033,560,103950
17304,1137,568,101630
17351,1100,576,101091
17000,1081,562,100207
17825,1152,605,102654
17082,1031,543,101311
17779,1085,568,104704
17669,1143,555,103597
15269,903,483,90194
17348,1086,583,102245
17287,1106,559,99437
17660,1164,576,103768
17743,1129,555,103160
17976,1136,586,104917
18744,1136,526,110267
18533,1111,559,106003
18167,1046,560,108858
16933,1036,560,98937
18204,1062,587,109038
18389,1042,573,108828
17267,1083,543,102750
17179,1048,565,99967
17831,1124,571,104923
17692,1054,573,105729
18170,1099,580,105547
18289,1036,527,109231
17654,1132,581,103956
17395,1103,582,107265
17293,1032,550,102968
16979,1150,597,100282
16779,1031,588,100170
17141,1055,553,102964
17665,1072,578,104632
17158,1071,578,101128
16993,1070,559,99618
17109,1099,551,101818
17401,1023,509,102355
18562,1106,566,108887
17179,1145,567,101330
17453,1109,559,100868
19017,1202,659,113780
17916,1115,599,104859
17543,1103,577,102911
18136,1075,564,107841
16112,911,473,94302
18137,1126,579,106972
17206,1101,557,102533
17943,1178,591,102561
6416,873,844,27806
6149,744,722,23678
8263,1064,957,30764
7397,902,847,28020
7108,890,789,25972
6378,815,727,23925
3800,486,442,13970
3628,438,395,13583
2964,361,331,11090
3298,433,376,11864
3053,402,344,10817
5365,660,590,19185
2855,348,305,9772
3916,522,456,14376
8010,979,945,31104
8496,1081,1038,33763
9099,1146,1101,36034
4746,612,587,20345
4783,629,520,18072
3740,491,439,14621
4443,543,518,16805
3791,499,443,13568
4752,575,526,17314
4678,618,524,18238
5129,685,578,19979
3768,493,407,14065
4086,542,444,15445
2689,366,309,10499
3289,437,376,11844
3087,412,355,11384
2575,337,291,9133
3238,408,358,12218
3717,456,402,13842
4800,618,537,18535
4638,575,531,17346
4253,555,471,16223
6469,829,729,23593
8027,988,942,31240
5730,741,632,19876
2995,402,370,12543
1426,195,145,5021
2975,382,312,9018
1900,208,149,5158
4413,567,470,15960
5103,657,633,20885
4221,537,482,15080
3631,478,410,14129
3528,473,404,13061
3730,487,429,14843
4306,520,494,15840
4948,596,565,17943
3602,444,416,14041
3060,342,317,9904
2658,348,306,10514
3749,479,433,15003
4493,586,491,15464
6245,767,718,24030
6099,795,760,25778
8299,1006,942,32481
7644,947,845,27383
6911,831,769,26396
8282,1036,926,30220
6165,771,730,23900
6911,852,786,26980
4137,513,472,14123
8675,1064,1035,35482
8208,1052,1033,34914
8201,1022,928,32288
8005,987,902,31273
7866,1013,907,29856
7736,987,899,29376
7882,949,934,31100
8463,1036,967,32704
3517,457,347,10487
2258,291,271,8787
7259,895,855,28104
7400,961,839,27892
7052,884,795,27012
6667,825,801,26113
8281,1058,964,31626
8116,999,897,29605
7609,925,888,29607
8383,1035,982,32913
9069,1104,984,33123
8166,1051,996,32779
8398,1030,918,31597
7257,893,830,27982
7433,998,886,27474
2057,274,234,7777
2476,326,287,9827
2417,296,255,8826
2625,317,279,9688
1927,258,222,6796
2522,316,277,9450
2521,333,292,10061
1967,264,221,7591
2384,310,275,8799
2588,315,270,9356
2634,335,302,9737
4731,574,542,17999
8180,1012,961,32497
5653,786,699,20686
17208,699,621,76030
15054,454,435,67160
14533,514,494,65274
21038,731,698,92193
18672,681,641,80928
7233,251,223,27343
14696,562,520,61924
18672,657,621,80927
15613,566,527,69929
19482,730,690,85075
16855,543,503,72752
20908,736,702,91756
21118,732,700,93060
17537,633,592,77748
18977,809,760,82817
18019,675,639,78758
19392,768,731,84626
14432,307,277,63386
15702,545,531,71304
18135,1127,961,80456
17926,809,741,78256
15379,646,592,66192
18060,791,728,78416
12537,454,417,56232
14984,578,539,63552
13637,518,449,57218
14980,573,509,63731
16315,718,681,74049
17245,711,642,74707
20794,948,841,91757
16765,705,618,72071
20795,1020,928,91252
18699,789,740,81998
21226,980,922,93390
21120,891,845,92881
19456,895,838,88124
20651,921,863,91913
18672,1141,1066,81616
19205,1120,863,86047
20736,953,765,91246
19983,903,707,92193
20634,904,648,91247
18593,810,521,81189
18600,1479,1344,83845
16488,1090,984,70438
16027,1080,1026,71647
16009,1028,954,72415
15900,1085,1008,68366
11125,568,493,48677
15885,1040,947,68186
15793,1105,932,71342
18870,1418,665,82117
21029,1581,892,92630
18341,1384,599,80128
20922,1577,848,91250
21317,1600,864,93569
19636,1492,991,92882
20510,1666,577,90176
18687,1408,461,80831
21029,1578,525,92193
18736,1404,441,81444
20885,1571,555,91834
21005,1579,547,92756
16644,1305,502,75948
20922,1578,461,92059
18438,1384,407,80095
21118,1587,466,92881
